,0,1,2,3,4,5,6,7,8,9,10
80,Methyl 4-hydroxybenzoate,10,2.5,12.5,0,0.81861013,1.0,1.0,1.0,1.0,1.0
81,p-Hydroxybenzyl Alcohol,10,2.5,12.5,0,0.358545455,0.509818182,0.667636364,0.829090909,0.896727273,0.935272727
82,4-acetamidophenol,10,2.5,12.5,0,0.269265233,0.371863799,0.460125448,0.555555556,0.655913978,0.731630824
83,p-methylphenol,10,2.5,12.5,0,0.24918944,0.338582677,0.383974062,0.442797591,0.486336267,0.516905975
84,phenol,10,5.0,7.5,0,0.269322709,0.443824701,0.581673307,0.714741036,0.768924303,0.793625498
85,chlorophenol,10,5.0,7.5,0,0.514432328,0.787684413,0.924951892,1.0,1.0,1.0
86,nitrophenol,10,5.0,7.5,0,0.545632882,0.728911723,0.837365717,0.910322279,0.950583839,0.971508641
87,p-hydroxybenzoic acid,10,5.0,7.5,0,0.430041152,0.711040564,0.90154027,0.966196355,1.0,1.0
88,quinol,10,5.0,7.5,0,0.121055651,0.27481354,0.440619621,0.643144005,0.714859438,0.747561675
89,p-Hydroxybenzaldehyde,10,5.0,7.5,0,0.481303565,0.631660025,0.780534964,0.850753316,0.869162618,0.934166712
90,p-Hydroxyacetophenone,10,5.0,7.5,0,0.517915309,0.73201683,0.872421281,0.958740499,0.986224213,0.99402823
91,p-hydroxyanisole,10,5.0,7.5,0,0.345333333,0.512,0.64,0.753333333,0.831555556,0.876888889
92,Methyl 4-hydroxybenzoate,10,5.0,7.5,0,0.907602339,1.0,1.0,1.0,1.0,1.0
93,p-Hydroxybenzyl Alcohol,10,5.0,7.5,0,0.33129771,0.632061069,0.745801527,0.817557252,0.851145038,0.861068702
94,4-acetamidophenol,10,5.0,7.5,0,0.339461883,0.49103139,0.594618834,0.686547085,0.761434978,0.815246637
95,p-methylphenol,10,5.0,7.5,0,0.303655108,0.43814433,0.509840675,0.572164948,0.626991565,0.678069353
96,phenol,10,7.5,7.5,0,0.364440869,0.555913113,0.695897023,0.765084473,0.78921963,0.794046661
97,chlorophenol,10,7.5,7.5,0,0.66289458,0.899940441,1.0,1.0,1.0,1.0
98,nitrophenol,10,7.5,7.5,0,0.666165555,0.836418303,0.916752795,0.958658273,0.975758715,0.982241849
99,p-hydroxybenzoic acid,10,7.5,7.5,0,0.667904055,0.84865791,1.0,1.0,1.0,1.0
100,quinol,10,7.5,7.5,0,0.243915929,0.531526549,0.652654867,0.697455752,0.708517699,0.714048673
101,p-Hydroxybenzaldehyde,10,7.5,7.5,0,0.637343216,0.830558723,0.932497149,0.979019384,0.990935006,0.994127708
102,p-Hydroxyacetophenone,10,7.5,7.5,0,0.661984316,0.86293897,0.95431299,0.98738493,0.994817593,1.0
103,p-hydroxyanisole,10,7.5,7.5,0,0.438326931,0.619291507,0.737942808,0.827998293,0.87494665,0.897994025
104,Methyl 4-hydroxybenzoate,10,7.5,7.5,0,1.0,1.0,1.0,1.0,1.0,1.0
105,p-Hydroxybenzyl Alcohol,10,7.5,7.5,0,0.560029828,0.739000746,0.817300522,0.858314691,0.873228934,0.881431767
106,4-acetamidophenol,10,7.5,7.5,0,0.45028979,0.629068212,0.736959429,0.819884084,0.870708872,0.901025412
107,p-methylphenol,10,7.5,7.5,0,0.393008975,0.532357109,0.623996221,0.692961738,0.736419462,0.780349551
108,phenol,50,5.0,30.0,0,0.19260494,0.334444613,0.518563419,0.662676163,0.71586604,0.732232156
109,chlorophenol,50,5.0,30.0,0,0.370747106,0.679176897,0.855372384,0.931135274,0.941774816,0.961183211
110,nitrophenol,50,5.0,30.0,0,0.346245992,0.454955431,0.564017193,0.705510341,0.810837473,0.876228728
111,p-hydroxybenzoic acid,50,5.0,30.0,0,0.292426326,0.479048359,0.696455257,0.878474505,0.945005679,0.966764302
112,quinol,50,5.0,30.0,0,0.150073296,0.269423406,0.34088688,0.372220865,0.383887124,0.384070364
113,p-Hydroxybenzaldehyde,50,5.0,30.0,0,0.268083689,0.388234641,0.560508352,0.778178589,0.896831123,0.943004606
114,p-Hydroxyacetophenone,50,5.0,30.0,0,0.279834542,0.457636947,0.691764494,0.887195083,0.951290543,0.969227994
115,p-hydroxyanisole,50,5.0,30.0,0,0.25390593,0.40196319,0.558282209,0.715255624,0.802699387,0.84196319
116,Methyl 4-hydroxybenzoate,50,5.0,30.0,0,0.655726872,0.787004405,0.884140969,0.953524229,0.982819383,1.0
117,p-Hydroxybenzyl Alcohol,50,5.0,30.0,0,0.290240453,0.532673267,0.696463932,0.791513437,0.825884017,0.840452617
118,4-acetamidophenol,50,5.0,30.0,0,0.204720455,0.295781721,0.414797456,0.614830934,0.758285906,0.843739538
119,p-methylphenol,50,5.0,30.0,0,0.175192356,0.218567684,0.252388602,0.288238776,0.336095375,0.390969815
120,phenol,50,10.0,20.0,0,0.271565003,0.4465496,0.5534504,0.57840419,0.579174368,0.579944547
121,chlorophenol,50,10.0,20.0,0,0.513291069,0.760760761,0.841508175,0.863307752,0.865643421,0.869424981
122,nitrophenol,50,10.0,20.0,0,0.470960853,0.622970698,0.752646915,0.829059056,0.853872188,0.860749643
123,p-hydroxybenzoic acid,50,10.0,20.0,0,0.405933386,0.666444215,0.819207669,0.877631499,0.886185767,0.886671116
124,quinol,50,10.0,20.0,0,0.296058879,0.454534663,0.490740741,0.495489079,0.500830959,0.507122507
125,p-Hydroxybenzaldehyde,50,10.0,20.0,0,0.371184485,0.562942157,0.741180173,0.83812543,0.858661321,0.862833767
126,p-Hydroxyacetophenone,50,10.0,20.0,0,0.425481812,0.669046291,0.82141662,0.874549173,0.880746111,0.881526926
127,p-hydroxyanisole,50,10.0,20.0,0,0.333440077,0.510687695,0.63950044,0.703546554,0.714274277,0.714914739
128,Methyl 4-hydroxybenzoate,50,10.0,20.0,0,0.873842082,0.960299956,0.988310543,1.0,1.0,1.0
129,p-Hydroxybenzyl Alcohol,50,10.0,20.0,0,0.401111883,0.611118833,0.689089646,0.709659486,0.711605281,0.717303683
130,4-acetamidophenol,50,10.0,20.0,0,0.341444802,0.511616076,0.649567577,0.738511107,0.765813125,0.771833135
131,p-methylphenol,50,10.0,20.0,0,0.277204265,0.348874598,0.392621425,0.443222203,0.497715349,0.546962261
132,phenol,50,10.0,15.0,0,0.233228346,0.366614173,0.448188976,0.468346457,0.471338583,0.472125984
133,chlorophenol,50,10.0,15.0,0,0.448625841,0.667350895,0.751054852,0.774318622,0.776371308,0.778573041
